RAM,5120,,,,,,,,,,,,,,,,,
EXPERIMENT,Precopy,,,,,,,,,,,,,,,,,
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk12,100,100,100,31,19,7471,5386346496,355,2,0,862.9860419,802465560,1121967,0,0,790822912,193072
2,sysbench_disk12,100,100,100,30,21,7864,5386346496,398,2,0,876.1751698,857883090,1108432,0,0,846254080,206605
3,sysbench_disk12,100,100,100,23,62,7787,5386346496,448,2,0,880.3996857,854316442,1109303,0,0,842686464,205734
4,sysbench_disk12,100,100,100,30,21,7856,5386346496,385,2,0,870.6285581,851580912,1109974,0,0,839950336,205066
5,sysbench_disk12,100,100,100,30,23,7786,5386346496,404,2,0,881.8736029,854865037,1109168,0,0,843235328,205868
6,sysbench_disk12,100,100,100,23,22,7774,5386346496,435,2,0,879.4543496,851969950,1109874,0,0,840339456,205161
7,sysbench_disk12,100,100,100,23,23,7836,5386346496,478,2,0,874.8361275,854275404,1109314,0,0,842645504,205724
8,sysbench_disk12,100,100,100,23,23,7808,5386346496,439,2,0,879.0850271,855348258,1109048,0,0,843718656,205986
9,sysbench_disk12,100,100,100,23,20,7807,5386346496,365,2,0,879.5305601,855671790,1108972,0,0,844042240,206065
10,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,
